1732846021, 0x00000100,  0x00000001,Power on!
1732846024, 0x00000100,  0x00000001,Download ethercat.foid finished.
1732846024, 0x00000100,  0x00000001,Download modbus.foid start.
1732846024, 0x00000100,  0x00000001,Download modbus.foid finished.
1732846024, 0x00000100,  0x00000001,Download canlink.foid start.
1732846024, 0x00000100,  0x00000001,Download canlink.foid finished.
1732846024, 0x00000100,  0x00000001,Download modcfg.foid start.
1732846024, 0x00000100,  0x00000001,Download modcfg.foid finished.
1732846024, 0x00000100,  0x00000001,Download ethip.foid start.
1732846024, 0x00000100,  0x00000001,Download ethip.foid finished.
1732846024, 0x00000100,  0x00000001,Download ecttrans.foid start.
1732846024, 0x00000100,  0x00000001,Download ecttrans.foid finished.
1732846024, 0x00000100,  0x00000001,Download OpcUAServer.foid start.
1732846024, 0x00000100,  0x00000001,Download OpcUAServer.foid finished.
1732846024, 0x00000100,  0x00000001,Download Ecam.foid start.
1732846024, 0x00000100,  0x00000001,Download Ecam.foid finished.
1732846024, 0x00000700,  0x00000001,Hook 1/2: EthIPScanner: Start hook event 3.
1732846024, 0x00000700,  0x00000001,Hook 2/2: EthIPScanner: End hook event 3.
1732846024, 0x00000700,  0x00000001,Hook 1/2: EthIPAdapter: Start hook event 3.
1732846024, 0x00000700,  0x00000001,Hook 2/2: EthIPAdapter: End hook event 3.
1732846024, 0x00000100,  0x00000001,run status changed to RUN!!! because of control word.
1732846024, 0x00000600,  0x00000001,EtherCAT: Start to get config data.
1732846024, 0x00000600,  0x00000001,EtherCAT:etc_first_updateconfig 
1732846024, 0x00000600,  0x00000001,EtherCAT: Cycle time is 4000 us.
1732846024, 0x00000600,  0x00000001,EtherCAT: There are 9 slave(s) configured.
1732846024, 0x00000600,  0x00000001,EtherCAT: offset time is 0.500000 us.
1732846024, 0x00000600,  0x00000001,EtherCAT: There are 9 slave(s) used.
1732846024, 0x00000600,  0x00000001,EtherCAT: Get config data finished.
1732846024, 0x00000601,  0x00000001,MC Axis:Start to get configure data
1732846024, 0x00000601,  0x00000001,MC Axis:Finished! There are 0 axis(es)
1732846024, 0x00000601,  0x00000001,MC Group:Finished! There are 0 axes group(s)
1732846024, 0x00000700,  0x00000001,Update 1/11: EthIPScanner: Start updating.
1732846024, 0x00000700,  0x00000001,Update 2/11: EthIPScanner: cancel thread done
1732846024, 0x00000700,  0x00000001,Update 3/11: EthIPScanner: clear error done
1732846024, 0x00000700,  0x00000001,Update 4/11: EthIPScanner: update iotagslist done
1732846024, 0x00000700,  0x00000001,Update 5/11: EthIPScanner: update class3tagslist done
1732846024, 0x00000700,  0x00000001,Update 6/11: EthIPScanner: update ucmmtagslist done
1732846024, 0x00000700,  0x00000001,Update 7/11: EthIPScanner: update udtlist done
1732846024, 0x00000700,  0x00000001,Update 8/11: EthIPScanner: update class3udt done
1732846024, 0x00000700,  0x00000001,Update 9/11: EthIPScanner: update ucmmudt done
1732846024, 0x00000700,  0x00000001,Update 10/11: EthIPScanner: update protocol_flag done
1732846024, 0x00000700,  0x00000001,Update 11/11: EthIPScanner: End updating.
1732846024, 0x00000700,  0x00000001,Update 1/10: EthIPAdapter: Start updating.
1732846024, 0x00000700,  0x00000001,Update 2/10: EthIPAdapter: cancel thread done
1732846024, 0x00000700,  0x00000001,Update 3/10: EthIPAdapter: clear error done
1732846024, 0x00000700,  0x00000001,Update 4/10: EthIPAdapter: update iotagslist
1732846024, 0x00000700,  0x00000001,Update 5/10: EthIPAdapter: update explicitlist done
1732846024, 0x00000700,  0x00000001,Update 6/10: EthIPAdapter: update siotags done
1732846024, 0x00000700,  0x00000001,Update 7/10: EthIPAdapter: update udtlist done
1732846024, 0x00000700,  0x00000001,Update 8/10: EthIPAdapter: update explicit_udt done
1732846024, 0x00000700,  0x00000001,Update 9/10: EthIPAdapter: update scanningtag done
1732846024, 0x00000700,  0x00000001,Update 10/10: EthIPAdapter: update protocol_flag done
1732846024, 0x00000700,  0x00000001,Update 11/10: EthIPAdapter: End updating.
1732846024, 0x00000100,  0x00000001,[FirstRun]:Mem-Variables load begin.
1732846024, 0x00000100,  0x00000001,[FirstRun]:Mem-Variables load finished.
1732846024, 0x00000600,  0x00000001,EtherCAT: Received run command.
1732846024, 0x00000700,  0x00000001,Hook 1/2: EthIPScanner: Start hook event 1.
1732846024, 0x00000700,  0x00000001,Hook 2/2: EthIPScanner: End hook event 1.
1732846024, 0x00000700,  0x00000001,Hook 1/2: EthIPAdapter: Start hook event 1.
1732846024, 0x00000700,  0x00000001,Hook 2/2: EthIPAdapter: End hook event 1.
1732846024, 0x00000700,  0x00000001,Hook 1/2: EthIPScanner: Start hook event 4.
1732846024, 0x00000700,  0x00000001,Hook 2/2: EthIPScanner: End hook event 4.
1732846024, 0x00000700,  0x00000001,Hook 1/2: EthIPAdapter: Start hook event 4.
1732846024, 0x00000700,  0x00000001,Hook 2/2: EthIPAdapter: End hook event 4.
1732846024, 0x00000600,  0x00000001,EtherCAT: Stop master
1732846024, 0x00000600,  0x00000001,EtherCAT: Stop master finished.
1732846034, 0x00000100,  0x00000001,Power off (simu)!
1732846034, 0x00000100,  0x00000001,run status changed to STOP!!! because of control word.
1732846034, 0x00000600,  0x00000001,EtherCAT: Received stop command.
1732846034, 0x00000700,  0x00000001,Hook 1/2: EthIPScanner: Start hook event 0.
1732846034, 0x00000700,  0x00000001,Hook stop 1/3: EthIPScanner: CMP_EVT_STOP
1732846034, 0x00000700,  0x00000001,Hook stop 2/3: EthIPScanner: cancel thread done
1732846034, 0x00000700,  0x00000001,Hook stop 3/3: EthIPScanner: clear error done
1732846034, 0x00000700,  0x00000001,Hook 2/2: EthIPScanner: End hook event 0.
1732846034, 0x00000700,  0x00000001,Hook 1/2: EthIPAdapter: Start hook event 0.
1732846034, 0x00000700,  0x00000001,Hook stop 1/5: EthIPAdapter: CMP_EVT_STOP
1732846034, 0x00000700,  0x00000001,Hook stop 2/5: EthIPAdapter: cancel thread done
1732846034, 0x00000700,  0x00000001,EipStackDlt 1/3: EthIPScanner: Start delete stack
1732846034, 0x00000700,  0x00000001,EipStackDlt 3/3: EthIPScanner: End delete stack
1732846034, 0x00000700,  0x00000001,Hook stop 3/5: EthIPAdapter: delete stack done
1732846034, 0x00000700,  0x00000001,Hook stop 4/5: EthIPAdapter: clear adapter error done
1732846034, 0x00000700,  0x00000001,Hook stop 5/5: EthIPAdapter: clear scanner error done
1732846034, 0x00000700,  0x00000001,Hook 2/2: EthIPAdapter: End hook event 0.
1732846034, 0x00000600,  0x00000001,EtherCAT: allowblock run_cmd_1=0
1732846034, 0x00000100,  0x00000001,[Powerdown]:Run switch to stop time: 10ms.
1732846034, 0x00000100,  0x00000001,[Powerdown]:Variables data save begin.
1732846034, 0x00000100,  0x00000001,[Powerdown]:Variables data save finished.
1733469428, 0x00000100,  0x00000001,Power on!
1733469428, 0x00000700,  0x00000001,Update 1/11: EthIPScanner: Start updating.
1733469428, 0x00000700,  0x00000001,Update 2/11: EthIPScanner: cancel thread done
1733469428, 0x00000700,  0x00000001,Update 3/11: EthIPScanner: clear error done
1733469428, 0x00000700,  0x00000001,Update 4/11: EthIPScanner: update iotagslist done
1733469428, 0x00000700,  0x00000001,Update 5/11: EthIPScanner: update class3tagslist done
1733469428, 0x00000700,  0x00000001,Update 6/11: EthIPScanner: update ucmmtagslist done
1733469428, 0x00000700,  0x00000001,Update 7/11: EthIPScanner: update udtlist done
1733469428, 0x00000700,  0x00000001,Update 8/11: EthIPScanner: update class3udt done
1733469428, 0x00000700,  0x00000001,Update 9/11: EthIPScanner: update ucmmudt done
1733469428, 0x00000700,  0x00000001,Update 10/11: EthIPScanner: update protocol_flag done
1733469428, 0x00000700,  0x00000001,Update 11/11: EthIPScanner: End updating.
1733469428, 0x00000700,  0x00000001,Update 1/10: EthIPAdapter: Start updating.
1733469428, 0x00000700,  0x00000001,Update 2/10: EthIPAdapter: cancel thread done
1733469428, 0x00000700,  0x00000001,Update 3/10: EthIPAdapter: clear error done
1733469428, 0x00000700,  0x00000001,Update 4/10: EthIPAdapter: update iotagslist
1733469428, 0x00000700,  0x00000001,Update 5/10: EthIPAdapter: update explicitlist done
1733469428, 0x00000700,  0x00000001,Update 6/10: EthIPAdapter: update siotags done
1733469428, 0x00000700,  0x00000001,Update 7/10: EthIPAdapter: update udtlist done
1733469428, 0x00000700,  0x00000001,Update 8/10: EthIPAdapter: update explicit_udt done
1733469428, 0x00000700,  0x00000001,Update 9/10: EthIPAdapter: update scanningtag done
1733469428, 0x00000700,  0x00000001,Update 10/10: EthIPAdapter: update protocol_flag done
1733469428, 0x00000700,  0x00000001,Update 11/10: EthIPAdapter: End updating.
1733469432, 0x00000100,  0x00000001,Download project\project.hcpp start.
1733469432, 0x00000100,  0x00000001,Download project\project.hcpp finished.
1733469432, 0x00000100,  0x00000001,Download userprog.foid start.
1733469432, 0x00000100,  0x00000001,Download userprog.foid finished.
1733469432, 0x00000100,  0x00000001,Download stprog.o start.
1733469432, 0x00000100,  0x00000001,Download stprog.o finished.
1733469432, 0x00000100,  0x00000001,Download stuserprog.o start.
1733469432, 0x00000100,  0x00000001,Download stuserprog.o finished.
1733469432, 0x00000100,  0x00000001,Download symbol.sym start.
1733469432, 0x00000100,  0x00000001,Download symbol.sym finished.
1733469433, 0x00000100,  0x00000001,Download varsinfo.foid start.
1733469433, 0x00000100,  0x00000001,Download varsinfo.foid finished.
1733469433, 0x00000100,  0x00000001,Download syscfg.foid start.
1733469433, 0x00000100,  0x00000001,Download syscfg.foid finished.
1733469433, 0x00000100,  0x00000001,Download ethercat.foid start.
1733469433, 0x00000100,  0x00000001,Download ethercat.foid finished.
1733469433, 0x00000100,  0x00000001,Download modbus.foid start.
1733469433, 0x00000100,  0x00000001,Download modbus.foid finished.
1733469433, 0x00000100,  0x00000001,Download canlink.foid start.
1733469433, 0x00000100,  0x00000001,Download canlink.foid finished.
1733469433, 0x00000100,  0x00000001,Download modcfg.foid start.
1733469433, 0x00000100,  0x00000001,Download modcfg.foid finished.
1733469433, 0x00000100,  0x00000001,Download ethip.foid start.
1733469433, 0x00000100,  0x00000001,Download ethip.foid finished.
1733469433, 0x00000100,  0x00000001,Download ecttrans.foid start.
1733469433, 0x00000100,  0x00000001,Download ecttrans.foid finished.
1733469433, 0x00000100,  0x00000001,Download OpcUAServer.foid start.
1733469433, 0x00000100,  0x00000001,Download OpcUAServer.foid finished.
1733469433, 0x00000100,  0x00000001,Download Ecam.foid start.
1733469433, 0x00000100,  0x00000001,Download Ecam.foid finished.
1733469433, 0x00000700,  0x00000001,Hook 1/2: EthIPScanner: Start hook event 3.
1733469433, 0x00000700,  0x00000001,Hook 2/2: EthIPScanner: End hook event 3.
1733469433, 0x00000700,  0x00000001,Hook 1/2: EthIPAdapter: Start hook event 3.
1733469433, 0x00000700,  0x00000001,Hook 2/2: EthIPAdapter: End hook event 3.
1733469433, 0x00000100,  0x00000001,run status changed to RUN!!! because of control word.
1733469433, 0x00000600,  0x00000001,EtherCAT: Start to get config data.
1733469433, 0x00000600,  0x00000001,EtherCAT:etc_first_updateconfig 
1733469433, 0x00000600,  0x00000001,EtherCAT: Cycle time is 4000 us.
1733469433, 0x00000600,  0x00000001,EtherCAT: There are 11 slave(s) configured.
1733469433, 0x00000600,  0x00000001,EtherCAT: offset time is 0.500000 us.
1733469433, 0x00000600,  0x00000001,EtherCAT: There are 11 slave(s) used.
1733469433, 0x00000600,  0x00000001,EtherCAT: Get config data finished.
1733469433, 0x00000601,  0x00000001,MC Axis:Start to get configure data
1733469433, 0x00000601,  0x00000001,MC Axis:Finished! There are 0 axis(es)
1733469433, 0x00000601,  0x00000001,MC Group:Finished! There are 0 axes group(s)
1733469433, 0x00000700,  0x00000001,Update 1/11: EthIPScanner: Start updating.
1733469433, 0x00000700,  0x00000001,Update 2/11: EthIPScanner: cancel thread done
1733469433, 0x00000700,  0x00000001,Update 3/11: EthIPScanner: clear error done
1733469433, 0x00000700,  0x00000001,Update 4/11: EthIPScanner: update iotagslist done
1733469433, 0x00000700,  0x00000001,Update 5/11: EthIPScanner: update class3tagslist done
1733469433, 0x00000700,  0x00000001,Update 6/11: EthIPScanner: update ucmmtagslist done
1733469433, 0x00000700,  0x00000001,Update 7/11: EthIPScanner: update udtlist done
1733469433, 0x00000700,  0x00000001,Update 8/11: EthIPScanner: update class3udt done
1733469433, 0x00000700,  0x00000001,Update 9/11: EthIPScanner: update ucmmudt done
1733469433, 0x00000700,  0x00000001,Update 10/11: EthIPScanner: update protocol_flag done
1733469433, 0x00000700,  0x00000001,Update 11/11: EthIPScanner: End updating.
1733469433, 0x00000700,  0x00000001,Update 1/10: EthIPAdapter: Start updating.
1733469433, 0x00000700,  0x00000001,Update 2/10: EthIPAdapter: cancel thread done
1733469433, 0x00000700,  0x00000001,Update 3/10: EthIPAdapter: clear error done
1733469433, 0x00000700,  0x00000001,Update 4/10: EthIPAdapter: update iotagslist
1733469433, 0x00000700,  0x00000001,Update 5/10: EthIPAdapter: update explicitlist done
1733469433, 0x00000700,  0x00000001,Update 6/10: EthIPAdapter: update siotags done
1733469433, 0x00000700,  0x00000001,Update 7/10: EthIPAdapter: update udtlist done
1733469433, 0x00000700,  0x00000001,Update 8/10: EthIPAdapter: update explicit_udt done
1733469433, 0x00000700,  0x00000001,Update 9/10: EthIPAdapter: update scanningtag done
1733469433, 0x00000700,  0x00000001,Update 10/10: EthIPAdapter: update protocol_flag done
1733469433, 0x00000700,  0x00000001,Update 11/10: EthIPAdapter: End updating.
1733469433, 0x00000100,  0x00000001,[FirstRun]:Mem-Variables load begin.
1733469433, 0x00000100,  0x00000001,[FirstRun]:Mem-Variables load finished.
1733469433, 0x00000600,  0x00000001,EtherCAT: Received run command.
1733469433, 0x00000700,  0x00000001,Hook 1/2: EthIPScanner: Start hook event 1.
1733469433, 0x00000700,  0x00000001,Hook 2/2: EthIPScanner: End hook event 1.
1733469433, 0x00000700,  0x00000001,Hook 1/2: EthIPAdapter: Start hook event 1.
1733469433, 0x00000700,  0x00000001,Hook 2/2: EthIPAdapter: End hook event 1.
1733469433, 0x00000700,  0x00000001,Hook 1/2: EthIPScanner: Start hook event 4.
1733469433, 0x00000700,  0x00000001,Hook 2/2: EthIPScanner: End hook event 4.
1733469433, 0x00000700,  0x00000001,Hook 1/2: EthIPAdapter: Start hook event 4.
1733469433, 0x00000700,  0x00000001,Hook 2/2: EthIPAdapter: End hook event 4.
1733469433, 0x00000600,  0x00000001,EtherCAT: Stop master
1733469433, 0x00000600,  0x00000001,EtherCAT: Stop master finished.
1733469438, 0x00000100,  0x00000001,Power off (simu)!
1733469438, 0x00000100,  0x00000001,run status changed to STOP!!! because of control word.
1733469438, 0x00000600,  0x00000001,EtherCAT: Received stop command.
1733469438, 0x00000700,  0x00000001,Hook 1/2: EthIPScanner: Start hook event 0.
1733469438, 0x00000700,  0x00000001,Hook stop 1/3: EthIPScanner: CMP_EVT_STOP
1733469438, 0x00000700,  0x00000001,Hook stop 2/3: EthIPScanner: cancel thread done
1733469438, 0x00000700,  0x00000001,Hook stop 3/3: EthIPScanner: clear error done
1733469438, 0x00000700,  0x00000001,Hook 2/2: EthIPScanner: End hook event 0.
1733469438, 0x00000700,  0x00000001,Hook 1/2: EthIPAdapter: Start hook event 0.
1733469438, 0x00000700,  0x00000001,Hook stop 1/5: EthIPAdapter: CMP_EVT_STOP
1733469438, 0x00000700,  0x00000001,Hook stop 2/5: EthIPAdapter: cancel thread done
1733469438, 0x00000700,  0x00000001,EipStackDlt 1/3: EthIPScanner: Start delete stack
1733469438, 0x00000700,  0x00000001,EipStackDlt 3/3: EthIPScanner: End delete stack
1733469438, 0x00000700,  0x00000001,Hook stop 3/5: EthIPAdapter: delete stack done
1733469438, 0x00000700,  0x00000001,Hook stop 4/5: EthIPAdapter: clear adapter error done
1733469438, 0x00000700,  0x00000001,Hook stop 5/5: EthIPAdapter: clear scanner error done
1733469438, 0x00000700,  0x00000001,Hook 2/2: EthIPAdapter: End hook event 0.
1733469438, 0x00000100,  0x00000001,[Powerdown]:Run switch to stop time: 15ms.
1733469438, 0x00000100,  0x00000001,[Powerdown]:Variables data save begin.
1733469438, 0x00000600,  0x00000001,EtherCAT: allowblock run_cmd_1=0
1733469438, 0x00000100,  0x00000001,[Powerdown]:Variables data save finished.
